323903,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae, g__, s__,1,323903,1
184037,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__, s__,#N/A,,#N/A
197072,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides, s__uniformis,#N/A,,#N/A
922239,k__Bacteria, p__Firmicutes, c__Bacilli, o__Gemellales, f__, g__, s__,#N/A,,#N/A
192684,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides, s__,#N/A,,#N/A
352529,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__[Ruminococcus], s__,#N/A,,#N/A
271159,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Carnobacteriaceae, g__Granulicatella, s__,#N/A,,#N/A
194686,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae, g__, s__,#N/A,,#N/A
198909,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__Lachnospira, s__,#N/A,,#N/A
1143645,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Sphingomonadales, f__Sphingomonadaceae, g__Sphingomonas, s__yabuuchiae,#N/A,,#N/A
196191,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae, g__Oscillospira, s__,#N/A,,#N/A
4345285,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Staphylococcaceae, g__Staphylococcus, s__,#N/A,,#N/A
527630,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Clostridiaceae, g__, s__,#N/A,,#N/A
2686369,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__[Ruminococcus], s__,#N/A,,#N/A
348304,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides, s__,#N/A,,#N/A
175642,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__, s__,#N/A,,#N/A
191551,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__[Ruminococcus], s__,#N/A,,#N/A
3256931,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides, s__,#N/A,,#N/A
191153,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae, g__, s__,#N/A,,#N/A
348642,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__[Ruminococcus], s__gnavus,#N/A,,#N/A
4389705,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__Comamonadaceae, g__Alicycliphilus, s__,#N/A,,#N/A
178994,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__Blautia, s__,#N/A,,#N/A
4465124,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Clostridiaceae, g__Clostridium, s__,#N/A,,#N/A
4319899,k__Bacteria, p__Fusobacteria, c__Fusobacteriia, o__Fusobacteriales, f__Fusobacteriaceae, g__Fusobacterium, s__,#N/A,,#N/A
279048,k__Bacteria, p__Cyanobacteria, c__4C0d-2, o__YS2, f__, g__, s__,#N/A,,#N/A
192958,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__Coprococcus, s__,#N/A,,#N/A
179911,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__Coprococcus, s__,#N/A,,#N/A
178852,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae, g__Oscillospira, s__,#N/A,,#N/A
1817731,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae, g__, s__,#N/A,,#N/A
180999,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__, s__,#N/A,,#N/A
353459,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae, g__Prevotella, s__,#N/A,,#N/A
186687,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__, s__,#N/A,,#N/A
2264285,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Enterococcaceae, g__Vagococcus, s__,#N/A,,#N/A
4350477,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__, s__,#N/A,,#N/A
3747551,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__, s__,#N/A,,#N/A
2990145,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__, s__,#N/A,,#N/A
367453,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__Coprococcus, s__,#N/A,,#N/A
2693224,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Sphingomonadales, f__Sphingomonadaceae, g__Sphingomonas, s__,#N/A,,#N/A
644798,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__Comamonadaceae, g__Variovorax, s__paradoxus,#N/A,,#N/A
198696,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__, s__,#N/A,,#N/A
232828,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae, g__, s__,#N/A,,#N/A
337538,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__, s__,#N/A,,#N/A
165046,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae, g__Oscillospira, s__,#N/A,,#N/A
185814,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae, g__, s__,#N/A,,#N/A
3563235,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides, s__,#N/A,,#N/A
4405869,k__Bacteria, p__Fusobacteria, c__Fusobacteriia, o__Fusobacteriales, f__Fusobacteriaceae, g__Fusobacterium, s__,#N/A,,#N/A
4372003,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Porphyromonadaceae, g__Parabacteroides, s__,#N/A,,#N/A
4340358,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides, s__,#N/A,,#N/A
301253,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae, g__Prevotella, s__copri,#N/A,,#N/A
197164,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae, g__, s__,#N/A,,#N/A
2829179,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Veillonellaceae, g__Acidaminococcus, s__,#N/A,,#N/A
544419,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Streptococcaceae, g__Lactococcus, s__,#N/A,,#N/A
4460505,k__Bacteria, p__Synergistetes, c__Synergistia, o__Synergistales, f__Dethiosulfovibrionaceae, g__TG5, s__,#N/A,,#N/A
340474,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides, s__,#N/A,,#N/A
4332082,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__Roseburia, s__,#N/A,,#N/A
4060124,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides, s__,#N/A,,#N/A
180171,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__, s__,#N/A,,#N/A
4307309,k__Bacteria, p__Fusobacteria, c__Fusobacteriia, o__Fusobacteriales, f__Fusobacteriaceae, g__Fusobacterium, s__,#N/A,,#N/A
2438396,k__Bacteria, p__Fusobacteria, c__Fusobacteriia, o__Fusobacteriales, f__Fusobacteriaceae, g__Fusobacterium, s__,#N/A,,#N/A
2875735,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides, s__,#N/A,,#N/A
174850,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__, s__,#N/A,,#N/A
4406162,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Streptococcaceae, g__Streptococcus, s__,#N/A,,#N/A
4353757,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pasteurellales, f__Pasteurellaceae, g__Aggregatibacter, s__,#N/A,,#N/A
187569,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__Coprococcus, s__,#N/A,,#N/A
180289,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__, s__,#N/A,,#N/A
580629,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides, s__,#N/A,,#N/A
182073,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__, s__,#N/A,,#N/A
4232045,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides, s__,#N/A,,#N/A
179319,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__Dorea, s__,#N/A,,#N/A
760967,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae, g__Prevotella, s__,#N/A,,#N/A
3794053,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__Dorea, s__,#N/A,,#N/A
185583,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae, g__, s__,#N/A,,#N/A
4430639,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pasteurellales, f__Pasteurellaceae, g__Haemophilus, s__parainfluenzae,#N/A,,#N/A
2683271,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__[Ruminococcus], s__gnavus,#N/A,,#N/A
190100,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__Blautia, s__,#N/A,,#N/A
4318284,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Veillonellaceae, g__Dialister, s__,#N/A,,#N/A
185164,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae, g__, s__,#N/A,,#N/A
4364747,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Clostridiaceae, g__, s__,#N/A,,#N/A
221127,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Carnobacteriaceae, g__Granulicatella, s__,#N/A,,#N/A
366794,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae, g__, s__,#N/A,,#N/A
182089,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae, g__, s__,#N/A,,#N/A
4442899,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__, s__,#N/A,,#N/A
839152,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Enterococcaceae, g__Enterococcus, s__,#N/A,,#N/A
186921,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__Coprococcus, s__,#N/A,,#N/A
2372755,k__Bacteria, p__Spirochaetes, c__Spirochaetes, o__Spirochaetales, f__Spirochaetaceae, g__Treponema, s__,#N/A,,#N/A
4367364,k__Bacteria, p__Firmicutes, c__Bacilli, o__Gemellales, f__Gemellaceae, g__, s__,#N/A,,#N/A
3014082,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__Blautia, s__,#N/A,,#N/A
4387092,k__Bacteria, p__Fusobacteria, c__Fusobacteriia, o__Fusobacteriales, f__Fusobacteriaceae, g__Fusobacterium, s__,#N/A,,#N/A
174489,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__, s__,#N/A,,#N/A
964220,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Corynebacteriaceae, g__Corynebacterium, s__durum,#N/A,,#N/A
656881,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae, g__, s__,#N/A,,#N/A
189081,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__, s__,#N/A,,#N/A
197022,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__Coprococcus, s__,#N/A,,#N/A
4435655,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__RF32, f__, g__, s__,#N/A,,#N/A
4393073,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__, s__,#N/A,,#N/A
186997,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__, s__,#N/A,,#N/A
2170526,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__, s__,#N/A,,#N/A
3318103,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__Roseburia, s__,#N/A,,#N/A
323106,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__, s__,#N/A,,#N/A
188262,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__, s__,#N/A,,#N/A
3211875,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides, s__,#N/A,,#N/A
4346677,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides, s__,#N/A,,#N/A
1935279,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Streptococcaceae, g__Streptococcus, s__,#N/A,,#N/A
185570,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__[Ruminococcus], s__gnavus,#N/A,,#N/A
4436046,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__Dorea, s__,#N/A,,#N/A
194001,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__Coprococcus, s__,#N/A,,#N/A
3544699,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides, s__fragilis,#N/A,,#N/A
318970,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__Blautia, s__,#N/A,,#N/A
4321547,k__Bacteria, p__Fusobacteria, c__Fusobacteriia, o__Fusobacteriales, f__Fusobacteriaceae, g__Fusobacterium, s__,#N/A,,#N/A
183886,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__, s__,#N/A,,#N/A
324236,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__[Ruminococcus], s__,#N/A,,#N/A
174831,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae, g__Prevotella, s__copri,#N/A,,#N/A
348680,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae, g__, s__,#N/A,,#N/A
4355792,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__[Tissierellaceae], g__Parvimonas, s__,#N/A,,#N/A
54563,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__[Ruminococcus], s__gnavus,#N/A,,#N/A
621651,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__[Mogibacteriaceae], g__, s__,#N/A,,#N/A
175559,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__Blautia, s__,#N/A,,#N/A
184320,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__, s__,#N/A,,#N/A
1105343,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Clostridiaceae, g__Clostridium, s__,#N/A,,#N/A
182054,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__Coprococcus, s__,#N/A,,#N/A
362947,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__Roseburia, s__faecis,#N/A,,#N/A
403701,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Veillonellaceae, g__Dialister, s__,#N/A,,#N/A
181432,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__[Paraprevotellaceae], g__Paraprevotella, s__,#N/A,,#N/A
1012948,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Corynebacteriaceae, g__Corynebacterium, s__,#N/A,,#N/A
145401,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__Blautia, s__,#N/A,,#N/A
246785,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae, g__Prevotella, s__,#N/A,,#N/A
4403259,k__Bacteria, p__Actinobacteria, c__Coriobacteriia, o__Coriobacteriales, f__Coriobacteriaceae, g__, s__,#N/A,,#N/A
4433947,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides, s__,#N/A,,#N/A
772515,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__, g__, s__,#N/A,,#N/A
321453,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__Blautia, s__,#N/A,,#N/A
870762,k__Bacteria, p__Firmicutes, c__Bacilli, o__Gemellales, f__Gemellaceae, g__, s__,#N/A,,#N/A
4425214,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Streptococcaceae, g__Streptococcus, s__,#N/A,,#N/A
2430693,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides, s__fragilis,#N/A,,#N/A
2298935,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__, s__,#N/A,,#N/A
182656,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__Dorea, s__,#N/A,,#N/A
543824,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Enterococcaceae, g__Enterococcus, s__,#N/A,,#N/A
189524,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae, g__, s__,#N/A,,#N/A
577170,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides, s__,#N/A,,#N/A
1756274,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Enterococcaceae, g__Enterococcus, s__,#N/A,,#N/A
196296,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae, g__Prevotella, s__copri,#N/A,,#N/A
2137001,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides, s__,#N/A,,#N/A
189271,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__, s__,#N/A,,#N/A
158183,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae, g__Oscillospira, s__,#N/A,,#N/A
4306089,k__Bacteria, p__Fusobacteria, c__Fusobacteriia, o__Fusobacteriales, f__Fusobacteriaceae, g__Fusobacterium, s__,#N/A,,#N/A
2281837,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacteriales, f__Enterobacteriaceae, g__, s__,#N/A,,#N/A
2438203,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__Roseburia, s__,#N/A,,#N/A
324163,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__Blautia, s__,#N/A,,#N/A
191718,k__Bacteria, p__Firmicutes, c__Erysipelotrichi, o__Erysipelotrichales, f__Erysipelotrichaceae, g__, s__,#N/A,,#N/A
172777,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides, s__,#N/A,,#N/A
4435664,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides, s__uniformis,#N/A,,#N/A
64653,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pseudomonadales, f__Moraxellaceae, g__Acinetobacter, s__,#N/A,,#N/A
4464533,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__[Ruminococcus], s__,#N/A,,#N/A
93099,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Streptococcaceae, g__Lactococcus, s__,#N/A,,#N/A
191928,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae, g__, s__,#N/A,,#N/A
179695,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__Coprococcus, s__,#N/A,,#N/A
1740499,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Veillonellaceae, g__Phascolarctobacterium, s__,#N/A,,#N/A
130663,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides, s__fragilis,#N/A,,#N/A
2358923,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Streptococcaceae, g__Streptococcus, s__,#N/A,,#N/A
4371061,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__, s__,#N/A,,#N/A
178183,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Clostridiaceae, g__, s__,#N/A,,#N/A
4439603,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Streptococcaceae, g__Streptococcus, s__,#N/A,,#N/A
185059,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__Blautia, s__,#N/A,,#N/A
4397962,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Streptococcaceae, g__Streptococcus, s__,#N/A,,#N/A
179744,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__, s__,#N/A,,#N/A
186896,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__Blautia, s__,#N/A,,#N/A
4471189,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Propionibacteriaceae, g__, s__,#N/A,,#N/A
175635,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__, s__,#N/A,,#N/A
184114,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae, g__, s__,#N/A,,#N/A
4369434,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__, s__,#N/A,,#N/A
4465907,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__Blautia, s__,#N/A,,#N/A
320786,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__Blautia, s__,#N/A,,#N/A
3221787,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__Dorea, s__,#N/A,,#N/A
187126,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae, g__, s__,#N/A,,#N/A
179847,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__, s__,#N/A,,#N/A
305329,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__Dorea, s__,#N/A,,#N/A
179961,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae, g__, s__,#N/A,,#N/A
184770,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__Coprococcus, s__,#N/A,,#N/A
193061,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__Blautia, s__,#N/A,,#N/A
591439,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__[Mogibacteriaceae], g__, s__,#N/A,,#N/A
905211,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Micrococcaceae, g__Rothia, s__,#N/A,,#N/A
348009,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae, g__Oscillospira, s__,#N/A,,#N/A
174288,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae, g__, s__,#N/A,,#N/A
178462,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__Blautia, s__,#N/A,,#N/A
195937,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__Blautia, s__,#N/A,,#N/A
187356,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__Coprococcus, s__,#N/A,,#N/A
4396519,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Streptococcaceae, g__Streptococcus, s__,#N/A,,#N/A
4316928,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Enterococcaceae, g__Enterococcus, s__,#N/A,,#N/A
190599,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__Coprococcus, s__,#N/A,,#N/A
198587,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae, g__, s__,#N/A,,#N/A
188194,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__Coprococcus, s__,#N/A,,#N/A
305141,k__Bacteria, p__Actinobacteria, c__Coriobacteriia, o__Coriobacteriales, f__Coriobacteriaceae, g__, s__,#N/A,,#N/A
173996,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__, s__,#N/A,,#N/A
152485,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Enterococcaceae, g__, s__,#N/A,,#N/A
192308,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__, s__,#N/A,,#N/A
197179,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae, g__, s__,#N/A,,#N/A
225088,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pseudomonadales, f__Pseudomonadaceae, g__Pseudomonas, s__,#N/A,,#N/A
